site,depth,date_collected,latitude,longitude,Temperature_C,Salinity,Fluorescence,Dissolved_oxygen_sat%,Average_nitrate_concentration_uM,SD_nitrate_concentration,Average_urea_concentration_nM,SD_urea_concentration,Ammonium_concentration_nM,SD_Ammonium_concentration
50,50,3/14/17,37.1343783,-122.54423,10.0446,33.6487,0.2114,48.633,20.52582,0.15145,1063,35.35534,0,6.14915448
500,50,3/19/17,37.0366833,-122.70133,10.8594,33.4433,0.7755,60.952,16.92042,0.403866,20.5,17.67767,30.4351947,11.2289399
500,150,3/19/17,37.0366833,-122.70133,8.4977,33.9246,0.1308,44.926,22.73904,0.252417,20.5,17.67767,17.9665643,6.42791386
500,500,3/19/17,37.0366833,-122.70133,6.353,34.2139,0.1308,7.741,34.98314,0.6058,53,7.071068,134.718829,41.7963171
3000,50,3/22/17,36.7990833,-122.97433,12.8669,33.0063,0.9098,96.572,2.320311,0.15145,71,10.6066,367.51873,4.53591847
3000,150,3/22/17,36.7990833,-122.97433,9.1913,33.7871,0.1039,45.254,22.73904,2.069815,21,3.535534,20.3456118,7.67221055
3000,500,3/22/17,36.7990833,-122.97433,5.2522,34.1423,0.1039,8.572,38.0174,7.522012,43.5,7.071068,19.7667678,11.8515876
3000,1000,3/22/17,36.7990833,-122.97433,3.7774,34.4588,0.1039,4.904,43.58614,2.271749,78.5,14.14214,15.8711648,12.7334552
3000,2000,3/22/17,36.7990833,-122.97433,1.8837,34.6157,0.1039,19.788,38.44576,4.089147,136,3.535534,34.2955464,24.854319
3000,3000,3/22/17,36.7990833,-122.97433,1.3725,34.6724,0.1039,31.565,34.44769,1.262083,336,3.535534,55.2854085,26.4827797
3500,50,3/18/17,36.6077667,-123.38032,12.3051,32.9875,1.0441,96.415,0,0.100967,140.5,3.535534,3.42931878,2.70473836
3500,150,3/18/17,36.6077667,-123.38032,9.2205,33.7688,0.0771,45.378,18.09842,0.555316,120.5,3.535534,0,7.34928097
3500,500,3/18/17,36.6077667,-123.38032,5.8545,34.2419,0.1039,5.029,35.87557,0.252417,180.5,17.67767,34.7054096,1.66199386
3500,1000,3/18/17,36.6077667,-123.38032,3.9646,34.4475,0.1039,4.481,39.73086,0.75725,215.5,3.535534,19.4143827,7.89760514
3500,2000,3/18/17,36.6077667,-123.38032,1.9666,34.6118,0.1039,20.012,37.66043,0.050483,225.5,31.81981,64.7355093,45.9024527
3500,3000,3/18/17,36.6077667,-123.38032,1.426,34.6648,0.1039,31.228,35.69709,0.504833,203,56.56854,0,1.32497127
4000,50,3/17/17,36.1948333,-123.96167,13.9404,33.1535,0.5069,95.869,-0.35697,0.706766,120.5,3.535534,4.93574434,4.87220006
4000,150,3/17/17,36.1948333,-123.96167,10.2253,33.3793,0.1308,74.321,15.59963,0.15145,133,21.2132,24.9717578,17.9261842
4000,500,3/17/17,36.1948333,-123.96167,5.4135,34.1405,0.1039,8.54,38.44576,0.656283,83,42.42641,0,7.26474915
4000,1000,3/17/17,36.1948333,-123.96167,3.7729,34.4464,0.1039,4.658,42.58662,1.867882,948,7.071068,0,1.77254929
4000,2000,3/17/17,36.1948333,-123.96167,1.925,34.6129,0.1039,20.176,37.55333,0.504833,178,7.071068,12.8835816,12.6398808
4000,3000,3/17/17,36.1948333,-123.96167,1.4001,34.6636,0.0771,31.285,35.12593,0,185.5,3.535534,3.99613329,3.24265527
4500,50,3/14/17,35.68905,-124.92211,14.4616,33.2532,0.3457,96.231,1.035215,0.050483,21,3.535534,0,0.61935889
4500,150,3/14/17,35.68905,-124.92211,10.3031,33.4274,0.1308,69.123,8.567301,0.908699,76,24.74874,6.20367597,14.9570723
4500,500,3/14/17,35.68905,-124.92211,5.5994,34.1203,0.1039,10.49,38.19588,4.644464,38.5,7.071068,0.52970275,3.58753952
4500,1000,3/14/17,35.68905,-124.92211,3.6912,34.4448,0.1039,4.347,46.44191,0.050483,28.5,7.071068,0,0.2201238
4500,2000,3/16/17,35.68905,-124.92211,1.8626,34.6183,0.1039,21.475,41.94408,2.574648,98.5,7.071068,6.70197413,10.5203639
4500,3000,3/16/17,35.68905,-124.92211,1.3735,34.6619,0.1039,30.858,38.48146,0.3029,111,3.535534,4.60040844,12.0672832
4500,4000,3/16/17,35.68905,-124.92211,1.1627,34.6829,0.0771,38.68,36.30394,1.464016,101,3.535534,0,3.2671839